OWNERID,REGIONID,PARENTREGIONID,ISPARENT,NAME,DESCRIPTION,CREATEDBY,CREATEDON,LASTMODIFIEDBY,LASTMODIFIEDON,ZIPCODE,CATEGORYTYPE,CONTINENTID,CONTINENTNAME,ZONEID,ZONENAME,AREAID,AREANAME,CLUSTERID,CLUSTERNAME,BRANCHID,BRANCHNAME,LOCATIONID,LOCATIONNAME,PROCESSID,PROCESSVERSION,LAYOUTID
721,5425,5348,0,ODT-Patna,,1,04-FEB-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5426,5362,0,ODT-Mumbai,,1,04-FEB-19,1,04-FEB-19,,3,,,,,,,,,,,,,0,0,-1
721,5430,5349,0,ODT-Dehradun,,1,04-FEB-19,5475,22-NOV-21,,3,,,,,,,,,,,,,0,0,-1
721,5432,5362,0,ODT-Raipur,,1,04-FEB-19,1,04-FEB-19,,3,,,,,,,,,,,,,0,0,-1
721,5349,0,1,Northern Zone,,1,20-DEC-18,1,29-JAN-19,,4,,,,,,,,,,,,,0,0,-1
721,5362,0,1,Western Zone,,1,20-DEC-18,1,29-JAN-19,,4,,,,,,,,,,,,,0,0,-1
721,5433,5347,0,BO Hyderabad,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5434,5347,0,CEPC Hyderabad,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5435,5347,0,ODT-Hyderabad,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5436,5347,0,BO Kochi,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5437,5347,0,ODT-Kochi,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5438,5347,0,BO Thiruvananthapuram,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5439,5347,0,CEPC Thiruvananthapuram,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
